สาขา,ชื่อเส้นทาง,ต้นทาง,lat ต้นทาง(เติม),lon ต้นทาง(เติม),ลิงก์แมพต้นทาง,ปลายทาง,lat ปลายทาง(เติม),lon ปลายทาง(เติม),ลิงก์แมพปลายทาง,สถานะที่ขาด
SKN,Better way,Better way,,,https://www.google.com/maps/search/?api=1&query=Better%20way%2029HG%2B878,Better way,,,https://www.google.com/maps/search/?api=1&query=Better%20way%2029HG%2B878,พิกัดต้นทาง + พิกัดปลายทาง
SKN,CP ALL คลังไดนามิค บางบัวทอง,CP ALL คลังไดนามิค บางบัวทอง,,,https://www.google.com/maps/search/?api=1&query=CP%20ALL%20%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B9%84%E0%B8%94%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B4%E0%B8%84%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%97%E0%B8%AD%E0%B8%87%202995%2BVW6,CP ALL คลังไดนามิค บางบัวทอง,,,https://www.google.com/maps/search/?api=1&query=CP%20ALL%20%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B9%84%E0%B8%94%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B4%E0%B8%84%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%97%E0%B8%AD%E0%B8%87%202995%2BVW6,พิกัดต้นทาง + พิกัดปลายทาง
SKN,CP ALL คลังออนไลน์ บางบัวทอง,CP ALL คลังออนไลน์ บางบัวทอง,,,https://www.google.com/maps/search/?api=1&query=CP%20ALL%20%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%97%E0%B8%AD%E0%B8%87%202995%2BVW6,CP ALL คลังออนไลน์ บางบัวทอง,,,https://www.google.com/maps/search/?api=1&query=CP%20ALL%20%E0%B8%84%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C%20%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9A%E0%B8%B1%E0%B8%A7%E0%B8%97%E0%B8%AD%E0%B8%87%202995%2BVW6,พิกัดต้นทาง + พิกัดปลายทาง
SKN,DC-ดูโฮม  ธัญบุรี,DC-ดูโฮม  ธัญบุรี,,,https://www.google.com/maps/search/?api=1&query=DC-%E0%B8%94%E0%B8%B9%E0%B9%82%E0%B8%AE%E0%B8%A1%20%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%20XPPX%2BRHG,DC-ดูโฮม  ธัญบุรี,,,https://www.google.com/maps/search/?api=1&query=DC-%E0%B8%94%E0%B8%B9%E0%B9%82%E0%B8%AE%E0%B8%A1%20%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%20XPPX%2BRHG,พิกัดต้นทาง + พิกัดปลายทาง
SKN,KSLเทพารักษ์,KSLเทพารักษ์,,,https://www.google.com/maps/search/?api=1&query=KSL%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C%20JJFQ%2B3C4%203003,KSLเทพารักษ์,,,https://www.google.com/maps/search/?api=1&query=KSL%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C%20JJFQ%2B3C4%203003,พิกัดต้นทาง + พิกัดปลายทาง
SKN,PET HOME,PET HOME,,,https://www.google.com/maps/search/?api=1&query=PET%20HOME%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8877/318%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%885,PET HOME,,,https://www.google.com/maps/search/?api=1&query=PET%20HOME%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8877/318%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%885,พิกัดต้นทาง + พิกัดปลายทาง
SKN,PET LOVE STORE,PET LOVE STORE,,,https://www.google.com/maps/search/?api=1&query=PET%20LOVE%20STORE%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%885/19%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%8814,PET LOVE STORE,,,https://www.google.com/maps/search/?api=1&query=PET%20LOVE%20STORE%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%885/19%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%8814,พิกัดต้นทาง + พิกัดปลายทาง
SKN,PORNARONG PETSHOP,PORNARONG PETSHOP,,,https://www.google.com/maps/search/?api=1&query=PORNARONG%20PETSHOP%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8850/1%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%886%E0%B8%8B.%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C76%E0%B8%96.%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C,PORNARONG PETSHOP,,,https://www.google.com/maps/search/?api=1&query=PORNARONG%20PETSHOP%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8850/1%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%886%E0%B8%8B.%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C76%E0%B8%96.%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B9%8C,พิกัดต้นทาง + พิกัดปลายทาง
SKN,TWO SIS CATSHOP,TWO SIS CATSHOP,,,https://www.google.com/maps/search/?api=1&query=TWO%20SIS%20CATSHOP%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%889%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%881,TWO SIS CATSHOP,,,https://www.google.com/maps/search/?api=1&query=TWO%20SIS%20CATSHOP%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%889%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%881,พิกัดต้นทาง + พิกัดปลายทาง
SKN,We.our pet shop,We.our pet shop,,,https://www.google.com/maps/search/?api=1&query=We.our%20pet%20shop%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88467%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%8810%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%B4%E0%B8%A8-%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87467%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%8810,We.our pet shop,,,https://www.google.com/maps/search/?api=1&query=We.our%20pet%20shop%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88467%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B8%97%E0%B8%B5%E0%B9%8810%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%B4%E0%B8%A8-%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87467%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%8810,พิกัดต้นทาง + พิกัดปลายทาง
SKN,กัปตัน เพ็ทช็อป,กัปตัน เพ็ทช็อป,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%B1%E0%B8%9B%E0%B8%95%E0%B8%B1%E0%B8%99%20%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8865/3%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%885%E0%B8%96.%E0%B8%A5%E0%B8%B3%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%B2,กัปตัน เพ็ทช็อป,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%B1%E0%B8%9B%E0%B8%95%E0%B8%B1%E0%B8%99%20%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8865/3%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%885%E0%B8%96.%E0%B8%A5%E0%B8%B3%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%B2,พิกัดต้นทาง + พิกัดปลายทาง
SKN,กานดา ซุปเปอร์มาร์ท,กานดา ซุปเปอร์มาร์ท,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B8%B2%20%E0%B8%8B%E0%B8%B8%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8873/43,กานดา ซุปเปอร์มาร์ท,,,https://www.google.com/maps/search/?api=1&query=%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%94%E0%B8%B2%20%E0%B8%8B%E0%B8%B8%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%97%20%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%8873/43,พิกัดต้นทาง + พิกัดปลายทาง
SKN,โกดังร้านพรวศินเพ็ทช็อป,โกดังร้านพรวศินเพ็ทช็อป,,,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%81%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%A7%E0%B8%A8%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%2075%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%885,โกดังร้านพรวศินเพ็ทช็อป,,,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%81%E0%B8%94%E0%B8%B1%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%A3%E0%B8%A7%E0%B8%A8%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%97%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%9B%2075%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%885,พิกัดต้นทาง + พิกัดปลายทาง
