src\app\billing\customer\client-page.tsx:179 | Func: dataToExport | Line: const [showPreview, setShowPreview] = useState(false)
src\app\mobile\chat\page.tsx:41 | Func: init | Line: useEffect(() => {
src\app\mobile\chat\page.tsx:71 | Func: init | Line: useEffect(() => {
src\app\routes\page.tsx:75 | Func: fetchData | Line: const fetchData = useCallback(async () => {
src\app\routes\page.tsx:87 | Func: fetchData | Line: useEffect(() => {
src\app\routes\page.tsx:91 | Func: fetchData | Line: useEffect(() => {
src\app\settings\customers\page.tsx:71 | Func: fetchCustomers | Line: const fetchCustomers = useCallback(async () => {
src\app\settings\customers\page.tsx:94 | Func: fetchCustomers | Line: useEffect(() => {
src\app\settings\customers\page.tsx:99 | Func: fetchCustomers | Line: useEffect(() => {
src\app\settings\expense-types\page.tsx:26 | Func: loadData | Line: const loadData = useCallback(async () => {
src\app\settings\expense-types\page.tsx:31 | Func: loadData | Line: useEffect(() => {
src\app\settings\subcontractors\page.tsx:53 | Func: loadData | Line: const loadData = useCallback(async () => {
src\app\settings\subcontractors\page.tsx:60 | Func: loadData | Line: useEffect(() => {
src\app\settings\users\page.tsx:50 | Func: loadData | Line: const loadData = useCallback(async () => {
src\app\settings\users\page.tsx:89 | Func: loadData | Line: useEffect(() => {
src\app\settings\vehicle-types\page.tsx:35 | Func: fetchTypes | Line: useEffect(() => {
src\components\chat\chat-window.tsx:70 | Func: filteredContacts | Line: const filteredContacts = useMemo(() => {
src\components\chat\chat-window.tsx:93 | Func: fetchMessages | Line: const fetchMessages = useCallback(async (driverId: string) => {
src\components\chat\chat-window.tsx:107 | Func: sendMessage | Line: const sendMessage = useCallback(async () => {
src\components\chat\chat-window.tsx:145 | Func: markAllAsRead | Line: const markAllAsRead = useCallback(async (driverId: string) => {
src\components\chat\chat-window.tsx:159 | Func: updateContactList | Line: const updateContactList = useCallback((newMsg: ChatMessage) => {
src\components\chat\chat-window.tsx:184 | Func: existing | Line: useEffect(() => {
src\components\chat\chat-window.tsx:222 | Func: isDuplicate | Line: useEffect(() => {
src\components\chat\chat-window.tsx:231 | Func: messageGroups | Line: const messageGroups = useMemo(() => groupMessagesByDate(messages), [messages])
src\components\chat\chat-window.tsx:234 | Func: totalUnread | Line: const totalUnread = useMemo(() => contacts.reduce((s, c) => s + (c.unread || 0), 0), [contacts])
src\components\customer-autocomplete.tsx:53 | Func: handleClickOutside | Line: useEffect(() => {
src\components\dashboard\dashboard-map.tsx:32 | Func: activeDrivers | Line: const activeDrivers = useMemo(() => {
src\components\dashboard\metric-card.tsx:49 | Func: display | Line: const display = useTransform(spring, (v) =>
src\components\dashboard\metric-card.tsx:53 | Func: display | Line: React.useEffect(() => {
src\components\driver-autocomplete.tsx:48 | Func: selectedDriver | Line: useEffect(() => {
src\components\driver-autocomplete.tsx:59 | Func: handleClickOutside | Line: useEffect(() => {
src\components\location-autocomplete.tsx:53 | Func: handleClickOutside | Line: useEffect(() => {
src\components\mobile\sync-manager.tsx:14 | Func: updateCount | Line: const updateCount = useCallback(() => {
src\components\mobile\sync-manager.tsx:18 | Func: handleSync | Line: const handleSync = useCallback(async () => {
src\components\mobile\sync-manager.tsx:35 | Func: handleSync | Line: useEffect(() => {
src\components\mobile\sync-manager.tsx:57 | Func: handleOnline | Line: useEffect(() => {
src\components\monitoring\monitoring-command-center.tsx:43 | Func: filteredDrivers | Line: const filteredDrivers = useMemo(() => {
src\components\monitoring\monitoring-command-center.tsx:50 | Func: filteredJobs | Line: const filteredJobs = useMemo(() => {
src\components\monitoring\monitoring-command-center.tsx:57 | Func: selectedEntity | Line: const selectedEntity = useMemo(() => {
src\components\monitoring\monitoring-command-center.tsx:64 | Func: driversWithGPS | Line: const driversWithGPS = useMemo(() => {
src\components\notifications\notification-dropdown.tsx:67 | Func: handleClickOutside | Line: useEffect(() => {
src\components\notifications\notification-dropdown.tsx:87 | Func: fetchNotifications | Line: useEffect(() => {
src\components\planning\job-dialog.tsx:220 | Func: parseJson | Line: useEffect(() => {
src\components\planning\job-dialog.tsx:227 | Func: parseJson | Line: useEffect(() => {
src\components\reports\report-builder.tsx:221 | Func: handleGenerate | Line: const handleGenerate = useCallback(async () => {
src\components\vehicle-autocomplete.tsx:56 | Func: handleClickOutside | Line: useEffect(() => {
src\components\vehicles\vehicle-dialog.tsx:55 | Func: fetchTypes | Line: const [formData, setFormData] = useState({
