,24.01-27,24.01-27,24.01-27,27.01-30,27.01-30,27.01-30,30.01-32,30.01-32,30.01-32,32.01-35,32.01-35,32.01-35
,4,6,10,4,6,10,4,6,10,4,6,10
  50 ,  700 ,"  2,250 ","  3,150 ",  778 ,"  2,500 ","  3,500 ",  856 ,"  2,750 ","  3,850 ",  941 ,"  3,025 ","  4,235 "
  100 ,  990 ,"  2,700 ","  3,600 ","  1,100 ","  3,000 ","  4,000 ","  1,210 ","  3,300 ","  4,400 ","  1,331 ","  3,630 ","  4,840 "
  150 ,"  1,170 ","  3,510 ","  4,050 ","  1,300 ","  3,900 ","  4,500 ","  1,430 ","  4,290 ","  4,950 ","  1,573 ","  4,719 ","  5,445 "
  200 ,"  1,260 ","  3,690 ","  4,500 ","  1,400 ","  4,100 ","  5,000 ","  1,540 ","  4,510 ","  5,500 ","  1,694 ","  4,961 ","  6,050 "
  250 ,"  1,440 ","  4,500 ","  4,950 ","  1,600 ","  5,000 ","  5,500 ","  1,760 ","  5,500 ","  6,050 ","  1,936 ","  6,050 ","  6,655 "
  300 ,"  1,800 ","  4,680 ","  5,400 ","  2,000 ","  5,200 ","  6,000 ","  2,200 ","  5,720 ","  6,600 ","  2,420 ","  6,292 ","  7,260 "
  350 ,"  2,250 ","  5,310 ","  5,850 ","  2,500 ","  5,900 ","  6,500 ","  2,750 ","  6,490 ","  7,150 ","  3,025 ","  7,139 ","  7,865 "
  400 ,"  2,700 ","  5,760 ","  6,300 ","  3,000 ","  6,400 ","  7,000 ","  3,300 ","  7,040 ","  7,700 ","  3,630 ","  7,744 ","  8,470 "
  450 ,"  2,970 ","  6,030 ","  6,750 ","  3,300 ","  6,700 ","  7,500 ","  3,630 ","  7,370 ","  8,250 ","  3,993 ","  8,107 ","  9,075 "
  500 ,"  3,150 ","  6,210 ","  7,200 ","  3,500 ","  6,900 ","  8,000 ","  3,850 ","  7,590 ","  8,800 ","  4,235 ","  8,349 ","  9,680 "
  550 ,"  3,330 ","  6,570 ","  7,650 ","  3,700 ","  7,300 ","  8,500 ","  4,070 ","  8,030 ","  9,350 ","  4,477 ","  8,833 ","  10,285 "
  600 ,"  3,510 ","  6,840 ","  8,100 ","  3,900 ","  7,600 ","  9,000 ","  4,290 ","  8,360 ","  9,900 ","  4,719 ","  9,196 ","  10,890 "
  650 ,"  3,690 ","  7,290 ","  8,550 ","  4,100 ","  8,100 ","  9,500 ","  4,510 ","  8,910 ","  10,450 ","  4,961 ","  9,801 ","  11,495 "
  700 ,"  3,870 ","  7,740 ","  9,000 ","  4,300 ","  8,600 ","  10,000 ","  4,730 ","  9,460 ","  11,000 ","  5,203 ","  10,406 ","  12,100 "
  750 ,"  4,050 ","  8,190 ","  9,450 ","  4,500 ","  9,100 ","  10,500 ","  4,950 ","  10,010 ","  11,550 ","  5,445 ","  11,011 ","  12,705 "
  800 ,"  4,230 ","  8,550 ","  9,900 ","  4,700 ","  9,500 ","  11,000 ","  5,170 ","  10,450 ","  12,100 ","  5,687 ","  11,495 ","  13,310 "
  850 ,"  4,500 ","  8,820 ","  10,350 ","  5,000 ","  9,800 ","  11,500 ","  5,500 ","  10,780 ","  12,650 ","  6,050 ","  11,858 ","  13,915 "
  900 ,"  4,770 ","  9,000 ","  10,800 ","  5,300 ","  10,000 ","  12,000 ","  5,830 ","  11,000 ","  13,200 ","  6,413 ","  12,100 ","  14,520 "
  950 ,"  5,040 ","  9,450 ","  11,250 ","  5,600 ","  10,500 ","  12,500 ","  6,160 ","  11,550 ","  13,750 ","  6,776 ","  12,705 ","  15,125 "
"  1,000 ","  5,310 ","  9,900 ","  11,700 ","  5,900 ","  11,000 ","  13,000 ","  6,490 ","  12,100 ","  14,300 ","  7,139 ","  13,310 ","  15,730 "
"  1,050 ","  5,490 ","  10,350 ","  12,150 ","  6,100 ","  11,500 ","  13,500 ","  6,710 ","  12,650 ","  14,850 ","  7,381 ","  13,915 ","  16,335 "
"  1,100 ","  5,580 ","  10,800 ","  12,600 ","  6,200 ","  12,000 ","  14,000 ","  6,820 ","  13,200 ","  15,400 ","  7,502 ","  14,520 ","  16,940 "
"  1,150 ","  5,670 ","  11,250 ","  13,050 ","  6,300 ","  12,500 ","  14,500 ","  6,930 ","  13,750 ","  15,950 ","  7,623 ","  15,125 ","  17,545 "
"  1,200 ","  5,940 ","  11,700 ","  13,500 ","  6,600 ","  13,000 ","  15,000 ","  7,260 ","  14,300 ","  16,500 ","  7,986 ","  15,730 ","  18,150 "
"  1,250 ","  6,120 ","  11,970 ","  13,950 ","  6,800 ","  13,300 ","  15,500 ","  7,480 ","  14,630 ","  17,050 ","  8,228 ","  16,093 ","  18,755 "
"  1,300 ","  6,300 ","  12,150 ","  14,400 ","  7,000 ","  13,500 ","  16,000 ","  7,700 ","  14,850 ","  17,600 ","  8,470 ","  16,335 ","  19,360 "
"  1,350 ","  6,480 ","  12,330 ","  14,850 ","  7,200 ","  13,700 ","  16,500 ","  7,920 ","  15,070 ","  18,150 ","  8,712 ","  16,577 ","  19,965 "
"  1,400 ","  6,660 ","  12,420 ","  15,300 ","  7,400 ","  13,800 ","  17,000 ","  8,140 ","  15,180 ","  18,700 ","  8,954 ","  16,698 ","  20,570 "
"  1,450 ","  6,750 ","  12,600 ","  15,750 ","  7,500 ","  14,000 ","  17,500 ","  8,250 ","  15,400 ","  19,250 ","  9,075 ","  16,940 ","  21,175 "
"  1,500 ","  6,930 ","  13,050 ","  16,200 ","  7,700 ","  14,500 ","  18,000 ","  8,470 ","  15,950 ","  19,800 ","  9,317 ","  17,545 ","  21,780 "
"  1,550 ","  7,110 ","  13,410 ","  16,650 ","  7,900 ","  14,900 ","  18,500 ","  8,690 ","  16,390 ","  20,350 ","  9,559 ","  18,029 ","  22,385 "
