Customer_ID,Customer_Name,Default_Origin,Contact_Person,Phone
1,บจก.ทีซียูเนียน,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
2,บมจ.ยูนิคอร์ด,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
3,บจก.SPF Diana (Thailand),นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
4,บจก.แวลู เพ็ท เวิลด์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
5,บจก.อินเตอร์เนชั่นแนล พาวเวอร์ กรุ๊ป,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
6,บริษัท ไฮเซ่นส์ อินเตอร์เนชั่นแนล จำกัด,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
7,บจก.ซี เวลท์ โฟรเซ่น ฟู๊ด,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
8,บจก.ปากช่อง ซัก อบ รีด,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
9,บจก.ไฮเทรด,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
10,บจก.อินโนเวเซีย เท็กซ์ไทล์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
11,K.ธาม,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
12,K.พงษ์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
13,บจก.Sinechemical,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
14,Wonder Child,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
15,KPT,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
16,คุณตรี,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
17,HV FILA,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
18,คุณวิสุทธิ์ ตะนาวศรีไก่ไทย,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
19,โนเวลพลาส,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
20,สยามรุ่งเรือง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
21,คุณญาณวัตน์ขี้เลื่อย,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
22,Food Innova,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
23,SCG,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
24,บริษัท พี.เอส.ซี รีคอนดัมน์ / บางปู,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
25,SST,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
26,KARMA,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
27,Cromwell,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
28,ซิมเพิ้ล ฟู๊ดส์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
29,พี่หญิง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
30,คุณกิต,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
31,ฟู้ดเบลสซิ่ง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
32,กลัฟเท็กซ์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
33,FKG,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
34,สยามอินเตอร์พลาส,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
35,MITSUTA,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
36,แสงไทย,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
37,คุณแหวน,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
38,ไอจีเอสเตท,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
39,ดินน้ำมัน,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
40,มาร์ปากช่อง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
41,คัลลินารี,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
42,ชิบุ,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
43,ไมเนอร์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
44,Gymhouse,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
45,ซองเดอร์ นนทบุรี,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
46,เจ้อเจียง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
47,คุณตง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
48,NSST,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
49,PFS,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
50,ซีเจ-สยามรุ่งเรือง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
51,โลตัส-สยามรุ่งเรือง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
52,โมบายโลจิสติกส์-สยามรุ่งเรือง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
53,คิวพลัส คอนเซ็ปท์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
54,สยามรุุ่่งเรือง-เพชรเกษม85,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
55,สยามรุ่งเรือง-สยามแมคโคร,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
56,สยามรุ่งเรือง-ซินโนว่า,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
57,ชีวาเคม,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
58,ไพพรรณรัตน์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
59,NP Green,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
60,INLINE,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
61,แกรนด์ไลน์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
62,พีพีมิเตอร์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
63,ไทไทแบรนด์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
64,UCT,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
65,ดินไฟ,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
66,เจียไต๋,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
67,เวลเนส เฮาส์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
68,มี-กัน 3 คน,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
69,SAAB,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
70,Bitkub,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
71,Tostem,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
72,ลองไลฟ์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
73,ทรานส์แมกส์ เอ็นเตอร์ไพรส์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
74,บุญพรพรหม,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
75,พีแอนด์ที สยาม,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
76,Da Houg Heng,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
77,ลิ้มศักดา,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
78,ลิวกง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
79,Panel Design Lab,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
80,IPG,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
81,เชอ บิวตี้(ไทยแลนด์),นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
82,แจ่มใส่พับลิซซิ่ง,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
83,TAISEI,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
84,Genetic,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
85,EARTH (THAILAND),นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
86,APCC ,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
87,ซองเดอร์ ไทยออร์กานิคฟูด,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
88,พร้อม โซลูชั่น,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
89,DCL PLASTIC,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
90,คิวส์ เมทัล,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
91,อีโค่ ทัช,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
92,ฮอนด้า,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
93,อิงค์ออนเปเปอร์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
94,ท็อปเพ้นท์,นิคมอุตสาหกรรม ,คุณจัดซื้อ,02-999-9999
