รหัสเจ้าของสินค้า,ชื่อเจ้าของสินค้า,รหัสศูนย์ฯ,ชื่อศูนย์ฯ,รหัสกลุ่มเวนเดอร์,ชื่อกลุ่มเวนเดอร์,คลัง,รหัสสินค้า,ชื่อสินค้า,มาตรฐาน,ชื่อสินค้า2,ชื่อสินค้า3,รหัสUPC,จำนวนบรรจุ(พาเลท),จำนวนบรรจุ(เคส),จำนวนบรรจุ(แพ็ค),ที่เก็บ,สถานะสต๊อก,ประเภทวันที่ควบคุม,วันที่ควบคุม,วันเข้าคลัง,เลขที่ควบคุม,ยอดสต๊อก(พาเลท),ชื่อหน่วย(พาเลท),ยอดสต๊อก(เคส),ชื่อหน่วย(เคส),ยอดสต๊อก(แพ็ค),ชื่อหน่วย(แพ็ค),ยอดสต๊อก(ชิ้น),ชื่อหน่วย,ยอดสต๊อก(ชิ้นรวม),ยอดใช้ได้(พาเลท),ยอดใช้ได้(เคส),ยอดใช้ได้(แพ็ค),ยอดใช้ได้(ชิ้น),ยอดใช้ได้(รวมชิ้น),ยอดจองเพื่อเติม(พาเลท),ยอดจองเพื่อเติม(เคส),ยอดจองเพื่อเติม(แพ็ค),ยอดจองเพื่อเติม(ชิ้น),ยอดจองเพื่อเติม(ชิ้นรวม),ยอดจอง(พาเลท),ยอดจอง(เคส),ยอดจอง(แพ็ค),ยอดจอง(ชิ้น),ยอดจอง(รวมชิ้น),เวลาบันทึก,ผู้บันทึก,เวลาอัปเดต,ผู้อัปเดต
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A03200UN082977D,AP 3200 UN 0.8MM 4x8,,,,A03200UN082977D,1,1,1,A-001,Good,,,2025/07/09,REC20250709,0,Unit1,0,Unit2,0,Unit3,89,PCS,89,0,0,0,89,89,0,0,0,0,0,0,0,0,0,0,2025/07/09 12:50:14,DD Service＆Transport,2025/08/29 12:17:22,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT9657MA072977I,SM 9657 M 0.7MM 4x8 I,,,,HT9657MA072977I,1,1,1,A-001,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,20,Pcs,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:11:34,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A03200UN082977D,AP 3200 UN 0.8MM 4x8,,,,A03200UN082977D,1,1,1,A-002,Good,,,2025/04/02,REC20250402,0,Unit1,0,Unit2,0,Unit3,115,PCS,115,0,0,0,115,115,0,0,0,0,0,0,0,0,0,0,2025/04/02 07:40:44,DD Service＆Transport,2025/10/21 13:02:43,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A03200UN082977D,AP 3200 UN 0.8MM 4x8,,,,A03200UN082977D,1,1,1,A-002,Good,,,2025/07/09,REC20250709,0,Unit1,0,Unit2,0,Unit3,8,PCS,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,2025/08/29 12:17:22,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8295MA072977,SM 8295 M 0.7MM 4x8 (9200),,,,HT8295MA072977,1,1,1,A-003,Good,,,2024/08/27,REC20240827,0,Unit1,0,Unit2,0,Unit3,14,Pcs,14,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,2024/08/27 05:45:26,DD Service＆Transport,2025/06/10 15:43:44,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8295MA072977,SM 8295 M 0.7MM 4x8 (9200),,,,HT8295MA072977,1,1,1,A-003,Good,,,2025/04/02,REC20250402,0,Unit1,0,Unit2,0,Unit3,9,Pcs,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,2025/04/02 08:54:37,DD Service＆Transport,2025/05/09 11:24:19,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8295MA072977,SM 8295 M 0.7MM 4x8 (9200),,,,HT8295MA072977,1,1,1,A-003,Good,,,2025/07/09,REC20250709,0,Unit1,0,Unit2,0,Unit3,40,Pcs,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2025/07/09 05:33:30,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08846NT082977D,AP 8846 NT 0.8MM 4x8,,,,A08846NT082977D,1,1,1,A-004,Good,,,2025/06/05,REC20250605,0,Unit1,0,Unit2,0,Unit3,13,PCS,13,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,2025/06/05 04:10:29,DD Service＆Transport,2025/11/18 13:27:44,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08846NT082977D,AP 8846 NT 0.8MM 4x8,,,,A08846NT082977D,1,1,1,A-004,Good,,,2025/07/09,REC20250709,0,Unit1,0,Unit2,0,Unit3,20,PCS,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/07/09 05:31:06,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08846NT082977D,AP 8846 NT 0.8MM 4x8,,,,A08846NT082977D,1,1,1,A-004,Good,,,2025/10/20,REC20251020,0,Unit1,0,Unit2,0,Unit3,20,PCS,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/10/20 18:19:12,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A06412NG082977D,AP 6412 NG 0.8MM 4x8,,,,A06412NG082977D,1,1,1,A-005,Good,,,2024/02/09,REC20240208001,0,Unit1,0,Unit2,0,Unit3,39,PCS,39,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,2024/02/09 13:36:14,pakchong,2025/10/10 17:15:36,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A06412NG082977D,AP 6412 NG 0.8MM 4x8,,,,A06412NG082977D,1,1,1,A-005,Good,,,2024/03/28,REC20240328001,0,Unit1,0,Unit2,0,Unit3,2,PCS,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2024/03/28 17:02:30,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A06412NG082977D,AP 6412 NG 0.8MM 4x8,,,,A06412NG082977D,1,1,1,A-005,Good,,,2024/11/11,REC20241111,0,Unit1,0,Unit2,0,Unit3,10,PCS,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2024/11/11 09:58:30,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A06412NG082977D,AP 6412 NG 0.8MM 4x8,,,,A06412NG082977D,1,1,1,A-005,Good,,,2025/06/05,REC20250605,0,Unit1,0,Unit2,0,Unit3,14,PCS,14,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,2025/06/05 04:06:50,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08844NT082977D,AP 8844 NT 0.8MM 4x8,,,,A08844NT082977D,1,1,1,A-006,Good,,,2024/02/09,REC20240208001,0,Unit1,0,Unit2,0,Unit3,34,PCS,34,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,2024/02/09 13:36:14,pakchong,2025/07/03 12:27:43,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08844NT082977D,AP 8844 NT 0.8MM 4x8,,,,A08844NT082977D,1,1,1,A-006,Good,,,2024/11/11,REC20241111,0,Unit1,0,Unit2,0,Unit3,10,PCS,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2024/11/11 10:05:29,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08844NT082977D,AP 8844 NT 0.8MM 4x8,,,,A08844NT082977D,1,1,1,A-006,Good,,,2025/01/10,REC20250110,0,Unit1,0,Unit2,0,Unit3,23,PCS,23,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,2025/01/10 17:55:32,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08844NT082977D,AP 8844 NT 0.8MM 4x8,,,,A08844NT082977D,1,1,1,A-006,Good,,,2025/04/02,REC20250402,0,Unit1,0,Unit2,0,Unit3,7,PCS,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,2025/04/02 08:48:12,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,008124MB072977,PP 8124 MB 0.7mm.x 4x 8,,,,008124MB072977,1,1,1,A-007,Good,,,2024/02/09,REC20240208001,0,Unit1,0,Unit2,0,Unit3,19,PCS,19,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,2025/02/21 13:44:25,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,008124MB072977,PP 8124 MB 0.7mm.x 4x 8,,,,008124MB072977,1,1,1,A-007,Good,,,2024/11/11,REC20241111,0,Unit1,0,Unit2,0,Unit3,5,PCS,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2025/02/21 13:44:25,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT6625MA072977I,SM 6625 M 0.7MM 4X8 I,,,,HT6625MA072977I,1,1,1,A-008,Good,,,2025/10/16,REC20251016,0,Unit1,0,Unit2,0,Unit3,13,Pcs,13,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,2025/10/16 10:30:16,DD Service＆Transport,2025/11/21 13:25:45,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8295MA072977I,SM 8295 M 0.7MM 4x8 I,,,,HT8295MA072977I,1,1,1,A-008,Good,,,2025/10/16,REC20251016,0,Unit1,0,Unit2,0,Unit3,40,Pcs,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2025/11/11 12:32:30,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A09281NG082977D,AP 9281 NG 0.8MM 4x8,,,,A09281NG082977D,1,1,1,A-009,Good,,,2025/09/05,REC20250905,0,พาเลท,0,เคส,0,แพ็ค,18,ชิ้น,18,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,2025/09/05 11:02:57,DD Service＆Transport,2025/09/25 17:38:16,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A09281NG082977D,AP 9281 NG 0.8MM 4x8,,,,A09281NG082977D,1,1,1,A-009,Good,,,2025/10/20,REC20251020,0,พาเลท,0,เคส,0,แพ็ค,20,ชิ้น,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/10/20 04:36:46,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT9207MA072977N,SM 9207 M 0.7MM 4x8 N (0909),,,,HT9207MA072977N,1,1,1,A-010,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,7,Pcs,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:11:25,DD Service＆Transport,2025/11/26 17:52:20,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,008122MB072977,PP 8122 MB 0.7mm.x 4x 8,,,,008122MB072977,1,1,1,ALL,Good,,,2025/01/10,REC20250110,0,Unit1,0,Unit2,0,Unit3,19,PCS,19,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,2025/01/10 10:32:06,DD Service＆Transport,2025/06/09 18:43:59,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,008122MB072977,PP 8122 MB 0.7mm.x 4x 8,,,,008122MB072977,1,1,1,ALL,Good,,,2025/04/02,REC20250402,0,Unit1,0,Unit2,0,Unit3,20,PCS,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/04/02 07:35:21,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A00932AB082977E,AP 0932 AB 0.8MM 4x8 E,,,,A00932AB082977E,1,1,1,ALL,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,10,PCS,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:08:14,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A05486NT082977D,AP 5486 NT 0.8MM 4x8,,,,A05486NT082977D,1,1,1,ALL,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,20,PCS,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:08:48,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07929UN082977D,AP 7929 UN 0.8MM 4x8 (0929),,,,A07929UN082977D,1,1,1,ALL,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,20,PCS,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:09:39,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07934UN082977D,AP 7934 UN 0.8MM 4x8,,,,A07934UN082977D,1,1,1,ALL,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,20,PCS,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:10:01,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A08848NT082977E,AP 8848 NT 0.8MM 4x8 E,,,,A08848NT082977E,1,1,1,ALL,Good,,,2025/11/26,REC20251126001,0,Unit1,0,Unit2,0,Unit3,10,PCS,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2025/11/26 17:10:38,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT0928MA072977I,SM 0928 M 0.7MM 4X8 I,,,,HT0928MA072977I,1,1,1,ALL,Good,,,2025/10/16,REC20251016,0,Unit1,0,Unit2,0,Unit3,40,Pcs,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2025/10/16 10:30:33,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8298MA072977I,SM 8298 M 0.7MM 4x8 I,,,,HT8298MA072977I,1,1,1,ALL,Good,,,2025/10/16,REC20251016,0,Unit1,0,Unit2,0,Unit3,40,Pcs,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2025/10/16 10:31:09,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8633MA072977I,SM 8633 M 0.7MM 4x8 I,,,,HT8633MA072977I,1,1,1,ALL,Good,,,2025/10/16,REC20251016,0,Unit1,0,Unit2,0,Unit3,40,Pcs,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2025/10/16 10:31:18,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,HT8649MA072977I,SM 8649 M 0.7MM 4x8 I,,,,HT8649MA072977I,1,1,1,ALL,Good,,,2025/10/16,REC20251016,0,Unit1,0,Unit2,0,Unit3,40,Pcs,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,2025/10/16 10:31:28,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07949UN082977D,AP 7949 UN 0.8MM 4x8 (0949),,,,A07949UN082977D,1,1,1,B-001,Good,,,2024/11/26,REC20241126,0,Unit1,0,Unit2,0,Unit3,16,PCS,16,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,2024/11/26 06:51:23,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07949UN082977D,AP 7949 UN 0.8MM 4x8 (0949),,,,A07949UN082977D,1,1,1,B-001,Good,,,2025/01/10,REC20250110,0,Unit1,0,Unit2,0,Unit3,112,PCS,112,0,0,0,112,112,0,0,0,0,0,0,0,0,0,0,2025/01/10 10:35:45,DD Service＆Transport,,
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07949UN082977D,AP 7949 UN 0.8MM 4x8 (0949),,,,A07949UN082977D,1,1,1,B-002,Good,,,2024/07/11,REC202400711,0,Unit1,0,Unit2,0,Unit3,3,PCS,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2024/07/11 16:14:43,DD Service＆Transport,2025/12/01 17:18:21,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07949UN082977D,AP 7949 UN 0.8MM 4x8 (0949),,,,A07949UN082977D,1,1,1,B-002,Good,,,2025/04/02,REC20250402,0,Unit1,0,Unit2,0,Unit3,29,PCS,29,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,2025/04/02 08:47:55,DD Service＆Transport,2025/04/02 08:47:55,DD Service＆Transport
FMC,Formica,Suratthani,Suratthani DC,FMC,Formica,Suratthani,A07949UN082977D,AP 7949 UN 0.8MM 4x8 (0949),,,,A07949UN082977D,1,1,1,B-002,Good,,,2025/06/05,REC20250605,0,Unit1,0,Unit2,0,Unit3,45,PCS,45,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,2025/06/05 04:09:18,DD Service＆Transport,,
